Year,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,MSRP
1996,115,4,0,1,2,0,0,36,26,2000
1996,115,4,0,1,2,0,0,36,26,2000
1996,140,4,0,1,2,0,0,29,21,2000
1997,140,4,0,1,2,0,0,29,21,2000
1997,115,4,0,1,2,0,0,35,25,2000
1997,115,4,0,1,2,0,0,35,25,2000
1998,115,4,0,1,2,0,0,35,25,2000
1998,115,4,0,1,2,0,0,35,25,2000
1998,140,4,0,1,2,0,0,28,20,2073
1996,155,4,0,0,2,0,0,26,19,3713
1996,155,4,0,0,2,0,0,26,19,3520
1997,155,4,0,0,2,0,0,26,19,3910
1997,155,4,0,0,2,0,0,26,19,4182
1997,155,4,0,0,2,0,0,26,19,4107
1998,155,4,0,0,2,0,0,25,20,4299
1998,155,4,0,0,2,0,0,25,20,4693
1998,155,4,0,0,2,0,0,25,20,4107
1991,114,4,0,0,4,1,3,26,19,2000
1991,114,4,1,0,4,1,3,23,18,2000
1991,114,4,0,0,4,1,2,26,19,2000
1992,114,4,0,0,4,1,2,26,19,2000
1992,114,4,0,0,4,1,3,26,19,2000
1992,114,4,0,0,4,1,2,26,19,2000
1993,114,4,0,0,4,1,2,26,19,2000
1993,114,4,0,0,4,1,3,25,18,2000
2012,100,4,0,1,4,0,4,35,29,16020
2012,100,4,0,1,4,0,4,35,29,14530
2012,100,4,1,1,4,0,4,34,28,16860
2012,100,4,1,1,4,0,4,34,28,15370
2013,100,4,1,1,4,0,4,34,28,17050
2013,100,4,1,1,4,0,4,34,28,15560
2013,100,4,0,1,4,0,4,35,29,16210
2013,100,4,0,1,4,0,4,35,29,14720
2014,100,4,1,1,4,0,4,34,28,17050
2014,100,4,1,1,4,0,4,34,28,15560
2014,100,4,0,1,4,0,4,35,29,16210
2014,100,4,0,1,4,0,4,35,29,14720
2015,300,6,1,2,4,1,4,30,20,47250
2015,240,4,1,2,4,1,4,33,22,41850
2015,240,4,1,2,4,1,4,33,22,41850
2016,240,4,1,2,4,1,4,34,22,43000
2016,300,6,1,2,4,1,4,30,20,49200
2017,320,6,1,2,4,1,4,30,20,49650
2017,248,4,1,2,4,1,4,33,23,43950
2015,241,4,1,2,4,1,3,33,22,41950
2015,335,6,1,0,4,1,2,33,25,50150
2015,240,4,1,0,4,1,2,35,23,37500
2015,300,6,1,0,4,1,2,32,21,43750
2015,180,4,1,0,4,1,2,45,32,39000
2015,240,4,1,2,4,1,2,33,22,39500
2015,240,4,1,2,4,1,2,33,22,39500
2015,180,4,1,2,4,1,2,35,23,34950
2015,300,6,1,2,4,1,2,30,20,45750
2015,180,4,1,2,4,1,3,43,31,43450
2015,240,4,1,0,4,1,2,35,23,37500
2015,180,4,1,2,4,1,2,43,31,41000
2015,180,4,1,0,4,1,2,36,24,32950
2016,180,4,1,2,4,1,2,40,30,41850
2016,320,6,1,2,4,1,2,33,22,47800
2016,180,4,1,0,4,1,2,42,32,39850
2016,240,4,1,0,4,1,2,34,22,38350
2016,240,4,1,2,4,1,2,34,22,40350
2016,240,4,0,0,4,1,2,34,22,38350
2016,240,4,1,2,4,1,3,34,22,42650
2016,180,4,1,0,4,1,2,36,24,33150
2016,180,4,1,2,4,1,2,35,23,35150
2016,180,4,1,2,4,1,3,40,30,44150
2016,320,6,1,0,4,1,2,33,22,45800
2017,248,4,1,0,4,1,2,34,23,38750
2017,180,4,1,2,4,1,2,34,23,35450
2017,180,4,1,0,4,1,2,35,23,33450
2017,248,4,1,2,4,1,2,33,23,40750
2017,180,4,1,2,4,1,2,40,30,42250
2017,248,4,1,2,4,1,3,33,23,42950
2017,180,4,1,0,4,1,2,42,32,40250
2017,320,6,1,2,4,1,2,31,21,49900
2017,320,6,1,0,4,1,2,32,21,47900
2017,180,4,1,2,4,1,3,40,30,44450
1991,177,6,1,0,4,2,2,19,15,2232
1991,177,6,1,0,4,1,3,20,15,2000
1991,158,6,1,0,4,1,2,22,17,2000
1991,177,6,1,2,4,1,2,20,15,2105
1991,177,6,1,2,4,1,3,18,15,2199
1991,177,6,1,0,4,1,2,22,16,2000
1991,177,6,1,0,4,2,2,19,15,2124
1991,228,6,0,0,2,0,1,21,14,3552
1991,217,6,1,0,2,1,0,22,15,2179
1991,121,5,1,0,4,1,2,30,23,2000
1992,121,5,1,0,4,1,2,29,23,2000
1992,228,6,1,0,4,2,2,17,14,2377
1992,228,6,0,0,2,0,1,21,15,3814
1992,177,6,1,2,4,1,2,19,15,2207
1992,177,6,1,0,4,1,3,20,15,2000
1992,217,6,1,0,2,1,0,21,15,2248
1992,177,6,1,0,4,1,2,22,16,2065
1992,148,6,1,0,4,2,2,22,18,2547
1992,177,6,1,2,4,1,3,18,15,2282
1992,158,6,1,0,4,1,2,23,18,2000
1993,177,6,1,2,4,1,3,19,15,2544
1993,217,6,1,0,2,1,0,22,17,2397
1993,121,5,1,0,4,1,2,30,23,2000
1993,228,6,0,0,2,0,1,21,14,4174
1993,217,6,1,0,4,1,2,22,17,2187
1993,148,6,1,0,4,2,2,22,18,2729
1993,177,6,1,2,4,1,2,19,15,2433
1993,194,6,1,0,4,1,2,23,17,2247
1993,228,6,1,0,4,2,2,18,14,2540
1997,218,6,0,1,2,0,5,23,17,3941
1997,161,6,0,1,2,0,5,22,17,3295
1997,320,6,0,2,2,0,5,22,16,6008
1998,320,6,0,2,2,0,5,22,16,6710
1998,161,6,0,1,2,0,5,22,17,3701
1998,218,6,0,1,2,0,5,23,17,4671
1999,218,6,0,1,2,0,5,23,17,5306
1999,320,6,0,2,2,0,5,22,16,7600
1999,161,6,0,1,2,0,5,22,17,4090
2015,300,6,1,2,4,2,2,27,18,37570
2015,292,6,1,0,4,2,2,31,19,31695
2015,292,6,1,0,4,2,2,31,19,38070
2015,292,6,1,2,4,2,2,27,18,44895
2015,300,6,1,0,4,2,2,31,19,35070
2015,292,6,1,0,4,2,2,31,19,42395
2015,292,6,1,2,4,2,2,27,18,34195
2015,292,6,1,2,4,2,2,27,18,40570
2016,300,6,1,2,4,2,2,27,18,38095
2016,300,6,1,0,4,2,2,31,19,35595
2016,292,6,1,2,4,2,2,27,18,45190
2016,292,6,1,0,4,2,2,31,19,32260
2016,292,6,1,2,4,2,2,27,18,37755
2016,292,6,1,2,4,2,2,27,18,41055
2016,300,6,1,0,4,2,2,31,19,36090
2016,292,6,1,0,4,2,2,31,19,42690
2016,292,6,1,0,4,2,2,31,19,38555
2016,292,6,1,0,4,2,2,31,19,35255
2016,300,6,1,2,4,2,2,27,18,38590
2016,292,6,1,2,4,2,2,27,18,34760
2017,292,6,1,2,4,2,2,27,18,41135
2017,292,6,1,2,4,2,2,27,18,45270
2017,300,6,1,2,4,2,2,27,18,38670
2017,292,6,1,0,4,2,2,30,19,38635
2017,300,6,1,0,4,2,2,30,19,36170
2017,300,6,1,2,4,2,2,27,18,38175
2017,292,6,1,0,4,2,2,30,19,32340
2017,292,6,1,0,4,2,2,30,19,42770
2017,292,6,1,2,4,2,2,27,18,34840
2017,300,6,1,0,4,2,2,30,19,35675
2002,250,6,1,1,4,2,2,24,16,32065
2002,250,6,1,1,4,2,2,24,16,28540
2003,255,6,1,1,4,2,2,25,16,32315
2003,250,6,1,1,4,2,2,25,16,28885
2004,250,6,1,1,4,2,2,25,16,29185
2004,255,6,1,1,4,2,2,25,16,32615
1994,222,6,0,0,2,0,1,22,16,2847
1994,222,6,0,0,2,0,0,22,16,2488
1994,300,6,0,0,2,0,5,22,16,2683
1994,222,6,0,0,2,0,0,22,16,2553
1995,300,6,0,0,2,0,0,22,16,3049
1995,222,6,0,0,2,0,0,22,17,2774
1995,222,6,0,0,2,0,0,22,17,2702
1995,222,6,0,0,2,0,1,22,17,3101
1996,300,6,0,0,2,0,0,22,16,3510
1996,222,6,0,0,2,0,0,22,17,3107
1996,222,6,0,0,2,0,1,22,17,3624
1996,222,6,0,0,2,0,0,22,17,3185
1992,82,4,0,1,2,0,5,33,25,2000
1992,82,4,0,1,2,0,5,33,25,2000
1993,82,4,0,1,2,0,5,33,25,2000
1993,82,4,0,1,2,0,5,32,24,2000
1994,82,4,0,1,2,0,5,33,25,2000
1990,134,6,1,0,4,2,2,23,19,2144
1990,134,6,1,0,4,2,2,23,19,2098
1991,134,6,1,0,4,2,2,23,19,2178
1991,134,6,1,0,4,2,2,23,19,2311
2007,306,6,1,0,2,0,1,23,17,36550
2007,306,6,1,0,2,0,1,23,17,41250
2007,306,6,1,0,2,0,0,24,17,30600
2007,306,6,1,0,2,0,0,24,17,37100
2007,306,6,0,0,2,0,0,25,18,27900
2007,306,6,0,0,2,0,0,25,18,32700
2007,306,6,0,0,2,0,1,24,17,40250
2007,306,6,0,0,2,0,1,24,17,35550
2007,306,6,0,0,2,0,0,25,18,36100
2007,306,6,1,0,2,0,0,24,17,33200
2007,306,6,0,0,2,0,1,24,17,37900
2007,306,6,0,0,2,0,0,25,18,29600
2007,306,6,0,0,2,0,0,25,18,38070
2007,306,6,1,0,2,0,1,23,17,38900
2008,306,6,1,0,2,0,0,24,17,33840
2008,306,6,0,0,2,0,1,24,17,38630
2008,306,6,1,0,2,0,1,23,17,39630
2008,306,6,1,0,2,0,0,24,17,37740
2008,306,6,1,0,2,0,1,23,17,41980
2008,306,6,0,0,2,0,1,24,17,36280
2008,306,6,0,0,2,0,0,25,18,36740
2008,306,6,0,0,2,0,1,24,17,40980
2008,306,6,0,0,2,0,0,25,18,38680
2008,306,6,0,0,2,0,0,25,18,28510
2008,306,6,0,0,2,0,0,25,18,30210
2008,306,6,1,0,2,0,0,24,17,31210
2008,306,6,0,0,2,0,0,25,18,33340
2008,306,6,1,0,2,0,1,23,17,37280
2009,306,6,0,0,2,0,1,24,17,41570
2009,306,6,0,0,2,0,1,24,17,36870
2009,306,6,1,0,2,0,1,23,17,42570
2009,306,6,1,0,2,0,1,23,17,37870
2009,306,6,0,0,2,0,1,24,17,39220
2009,306,6,1,0,2,0,1,23,17,40220
2002,400,8,0,0,2,0,1,15,10,160829
2002,400,8,0,0,2,0,0,15,10,140615
2002,400,8,3,0,2,0,0,15,10,150694
2002,400,8,3,0,2,0,1,15,10,170829
2003,400,8,0,0,2,0,1,15,10,165986
2003,400,8,3,0,2,0,0,15,10,154090
2003,400,8,0,0,2,0,0,15,10,143860
2003,400,8,3,0,2,0,1,15,10,176287
2004,400,8,3,0,2,0,0,15,10,157767
2004,425,8,3,0,2,0,0,15,10,187124
2004,400,8,0,0,2,0,0,15,10,147332
2004,400,8,0,0,2,0,1,15,10,169900
2004,400,8,3,0,2,0,1,15,10,180408
2015,350,6,1,0,2,0,0,26,19,46790
2015,332,6,0,0,2,0,1,24,17,48100
2015,332,6,0,0,2,0,0,26,18,29990
2015,332,6,1,0,2,0,1,25,18,41820
2015,332,6,1,0,2,0,0,26,19,31290
2015,332,6,1,0,2,0,0,26,19,34870
2015,332,6,0,0,2,0,0,26,18,33570
2015,332,6,1,0,2,0,1,25,18,46570
2015,332,6,0,0,2,0,0,26,18,37970
2015,332,6,0,0,2,0,0,26,18,37070
2015,332,6,1,0,2,0,1,25,18,49400
2015,332,6,0,0,2,0,1,24,17,45270
2015,332,6,1,0,2,0,0,26,19,39270
2015,350,6,0,0,2,0,0,26,18,45490
2015,350,6,0,0,2,0,0,26,18,41990
2015,332,6,1,0,2,0,0,26,19,38370
2015,350,6,1,0,2,0,0,26,19,43290
2016,332,6,1,0,2,0,1,25,18,41820
2016,332,6,0,0,2,0,1,24,17,48100
2016,350,6,1,0,2,0,0,26,19,43290
2016,332,6,1,0,2,0,0,26,19,39270
2016,332,6,1,0,2,0,0,26,19,34870
2016,350,6,0,0,2,0,0,26,18,41990
2016,332,6,1,0,2,0,0,26,19,38370
2016,332,6,0,0,2,0,1,24,17,45270
2016,350,6,0,0,2,0,0,26,18,45490
2016,332,6,0,0,2,0,0,26,18,29990
2016,332,6,1,0,2,0,1,25,18,46570
2016,350,6,1,0,2,0,0,26,19,46790
2016,332,6,1,0,2,0,1,25,18,49400
2016,332,6,0,0,2,0,0,26,18,37070
2016,332,6,1,0,2,0,0,26,19,31290
2016,332,6,0,0,2,0,0,26,18,37970
2016,332,6,0,0,2,0,0,26,18,33570
2017,332,6,0,0,2,0,0,26,18,37970
2017,332,6,1,0,2,0,0,26,19,38370
2017,332,6,1,0,2,0,0,26,19,34870
2017,332,6,0,0,2,0,0,26,18,29990
2017,350,6,0,0,2,0,0,26,18,45490
2017,350,6,0,0,2,0,0,26,18,41990
2017,332,6,0,0,2,0,1,24,17,45270
2017,332,6,0,0,2,0,0,26,18,33570
2017,332,6,0,0,2,0,1,24,17,48100
2017,332,6,1,0,2,0,0,26,19,39270
2017,332,6,1,0,2,0,1,25,18,46570
2017,332,6,1,0,2,0,1,25,18,49400
2017,332,6,0,0,2,0,0,26,18,37070
2017,332,6,1,0,2,0,1,25,18,41820
2017,350,6,1,0,2,0,0,26,19,46790
2017,350,6,1,0,2,0,0,26,19,43290
2017,332,6,1,0,2,0,0,26,19,31290
2015,184,4,0,1,4,0,2,37,25,25045
2015,184,4,1,1,4,0,2,39,28,26095
2015,155,4,1,1,4,0,2,41,30,23795
2015,155,4,0,1,4,0,2,41,29,19595
2015,155,4,0,1,4,0,2,41,29,18445
2015,184,4,0,1,4,0,2,37,25,23845
2015,184,4,1,1,4,0,4,37,27,25395
2015,184,4,1,1,4,0,2,39,28,24895
2015,184,4,0,1,4,0,4,35,26,25545
2015,155,4,1,1,4,0,4,40,30,24295
2015,155,4,1,1,4,0,2,41,30,19495
2015,155,4,0,1,4,0,4,40,29,20095
2015,155,4,1,1,4,0,4,40,30,19995
2015,155,4,1,1,4,0,4,40,30,21145
2015,155,4,0,1,4,0,4,40,29,23245
2015,155,4,0,1,4,0,2,41,29,16945
2015,184,4,0,1,4,0,4,35,26,24345
2015,155,4,1,1,4,0,2,41,30,20645
2015,155,4,0,1,4,0,4,40,29,18945
2015,184,4,1,1,4,0,4,37,27,26595
2015,155,4,0,1,4,0,2,41,29,22745
2015,155,4,1,1,4,0,2,41,30,17995
2016,155,4,0,1,4,0,2,41,29,22545
2016,155,4,1,1,4,0,2,41,30,21095
2016,184,4,1,1,4,0,4,37,27,25495
2016,155,4,0,1,4,0,4,40,29,20745
2016,155,4,1,1,4,0,4,40,30,24295
2016,155,4,1,1,4,0,2,41,30,23595
2016,155,4,1,1,4,0,4,40,30,21795
2016,155,4,0,1,4,0,2,41,29,17845
2016,184,4,1,1,4,0,4,37,27,26495
2016,184,4,0,1,4,0,2,37,25,24745
2016,155,4,1,1,4,0,2,41,30,18895
2016,155,4,1,1,4,0,4,40,30,19595
2016,155,4,0,1,4,0,4,40,29,23245
2016,155,4,0,1,4,0,4,40,29,18545
2016,184,4,1,1,4,0,2,39,28,25795
2016,155,4,0,1,4,0,2,41,29,20045
2016,184,4,0,1,4,0,4,35,26,25445
2016,184,4,1,1,4,0,2,39,28,24795
2017,155,4,1,1,4,1,2,37,28,21495
2017,155,4,0,1,4,1,2,37,27,17845
2017,184,4,0,1,4,1,2,34,25,23145
2017,184,4,1,1,4,1,2,36,27,24195
2017,155,4,1,1,4,0,4,37,28,20145
2017,184,4,1,1,4,0,4,35,26,24945
2017,184,4,0,1,4,0,4,33,25,23895
2017,155,4,0,1,4,0,4,37,27,19095
2017,184,4,1,1,4,0,4,35,26,23445
2017,155,4,1,1,4,1,2,37,28,18895
2017,155,4,1,1,4,0,4,37,28,22245
2017,184,4,0,1,4,0,4,33,25,22395
2017,155,4,0,1,4,1,2,37,27,20445
2015,240,4,1,2,4,1,2,33,22,42300
2015,240,4,1,0,4,1,2,34,23,40300
2015,240,4,1,0,4,1,2,34,23,40300
2015,240,4,1,2,4,1,2,33,22,42300
2015,300,6,1,0,4,1,2,32,21,45800
2015,300,6,1,2,4,1,2,31,20,47800
2016,240,4,1,2,4,1,2,34,22,43650
2016,300,6,1,2,4,1,2,30,20,49950
2016,300,6,1,0,4,1,2,31,20,47950
2016,240,4,1,0,4,1,2,34,23,41650
2017,320,6,1,0,4,1,2,32,21,48300
2017,320,6,1,2,4,1,2,31,21,50300
2017,248,4,1,2,4,1,2,33,23,43950
2017,248,4,1,0,4,1,2,34,23,41950
2015,300,6,1,2,2,1,1,29,20,56900
2015,300,6,1,0,2,1,0,32,21,46250
2015,240,4,1,2,2,1,1,33,21,50750
2015,240,4,1,2,2,1,0,33,22,42750
2015,240,4,1,0,2,1,1,34,23,48750
2015,300,6,1,2,2,1,0,30,20,48250
2015,240,4,1,2,2,1,0,33,22,42750
2015,240,4,1,2,2,1,1,33,21,50750
2015,240,4,1,0,2,1,0,35,23,40750
2015,300,6,1,0,2,1,1,31,20,54900
2015,240,4,1,0,2,1,1,34,23,48750
2015,240,4,1,0,2,1,0,35,23,40750
2016,240,4,1,2,2,1,1,33,21,52000
2016,240,4,1,0,2,1,1,34,23,50000
2016,240,4,0,0,2,1,0,34,22,41850
2016,300,6,1,2,2,1,0,30,20,50150
2016,240,4,1,0,2,1,0,35,23,41850
2016,300,6,1,2,2,1,1,29,20,58950
2016,240,4,1,2,2,1,0,34,22,43850
2016,300,6,1,0,2,1,0,31,20,48150
2016,300,6,1,0,2,1,1,31,20,56950
2017,248,4,1,0,2,1,1,34,23,50300
2017,248,4,1,2,2,1,1,32,22,52300
2017,320,6,1,2,2,1,0,31,21,50500
2017,248,4,1,2,2,1,0,33,23,44150
2017,248,4,1,0,2,1,0,34,23,42150
2017,320,6,1,2,2,1,1,30,20,59300
2017,320,6,1,0,2,1,1,29,21,57300
2017,320,6,1,0,2,1,0,32,21,48500
1992,268,8,1,0,4,1,2,20,15,2168
1992,282,8,1,0,4,2,2,16,12,2497
1993,275,8,1,0,4,1,2,22,16,2278
1993,275,8,1,0,4,2,2,17,13,2650
1990,201,8,1,0,4,2,2,17,14,2000
1991,201,8,1,0,4,2,2,17,14,2186
2001,442,12,1,0,2,0,0,14,9,223970
2001,442,12,0,0,2,0,0,15,9,219775
2002,442,12,1,0,2,0,0,14,9,228625
2002,442,12,0,0,2,0,0,15,9,224585
2003,442,12,1,0,2,0,0,14,9,228625
2003,442,12,0,0,2,0,0,15,9,224585
2013,562,8,3,0,2,0,1,17,13,257412
2013,562,8,3,0,2,0,0,17,13,233509
2014,562,8,3,0,2,0,0,17,13,233509
2014,597,8,3,0,2,0,0,17,13,288000
2014,562,8,3,0,2,0,1,17,13,257412
2015,562,8,3,0,2,0,0,17,13,239340
2015,562,8,3,0,2,0,1,17,13,263553
2015,597,8,3,0,2,0,0,17,13,291744
2015,237,4,3,0,2,0,1,34,24,63900
2015,237,4,3,0,2,0,0,34,24,68400
2015,237,4,3,0,2,0,0,34,24,53900
2016,237,4,3,0,2,0,0,34,24,55900
2016,237,4,3,0,2,0,1,34,24,65900
2014,270,6,1,0,4,1,6,23,17,41365
2014,270,6,1,0,4,1,6,23,17,35740
2014,270,6,1,3,4,1,6,22,17,37615
2014,270,6,1,3,4,1,6,22,17,34695
2014,270,6,1,3,4,1,6,22,17,35725
2014,270,6,1,3,4,1,6,22,17,43400
2014,270,6,1,0,4,1,6,23,17,32820
2014,270,6,1,3,4,1,6,22,17,38645
2015,270,6,1,3,4,1,6,21,17,37825
2015,270,6,1,3,4,1,6,21,17,43620
2015,270,6,1,3,4,1,6,21,17,36115
2015,270,6,1,0,4,1,6,22,17,35950
2015,270,6,1,0,4,1,6,22,17,33210
2015,270,6,1,3,4,1,6,21,17,38855
2015,270,6,1,0,4,1,6,22,17,41585
2015,270,6,1,3,4,1,6,21,17,35085
2015,270,6,1,3,4,1,6,21,17,41310
2016,270,6,1,0,4,1,6,22,17,36690
2016,270,6,1,3,4,1,6,21,17,44360
2016,270,6,1,3,4,1,6,21,17,39595
2016,270,6,1,3,4,1,6,21,17,41850
2016,270,6,1,0,4,1,6,22,17,42325
2016,270,6,1,3,4,1,6,21,17,35885
2016,270,6,1,3,4,1,6,21,17,38565
2016,270,6,1,3,4,1,6,21,17,36915
2016,270,6,1,0,4,1,6,22,17,34010
2015,300,6,1,0,4,2,4,28,19,60700
2015,445,8,1,2,4,2,4,24,16,71400
2015,300,6,1,2,4,2,4,26,18,63000
2015,445,8,1,0,4,2,4,25,16,69100
2016,300,6,1,2,4,2,4,26,18,63200
2016,445,8,1,2,4,2,4,24,16,72500
2016,300,6,1,0,4,2,4,28,19,60900
2017,300,6,1,2,4,2,4,26,18,63200
2017,300,6,1,0,4,2,4,27,19,60900
2017,445,8,1,2,4,2,4,24,15,72500
2015,443,8,1,2,4,2,2,25,16,67200
2015,302,6,1,2,4,2,2,29,20,57900
2015,255,6,1,0,4,2,2,38,26,57100
2015,241,4,1,2,4,2,2,33,22,52250
2015,255,6,1,2,4,2,2,37,26,59400
2015,443,8,1,0,4,2,2,25,17,64900
2015,241,4,1,0,4,2,2,34,23,49950
2015,302,6,1,0,4,2,2,31,20,55600
2016,255,6,1,0,4,2,2,38,26,57350
2016,302,6,1,2,4,2,2,29,20,58150
2016,302,6,1,0,4,2,2,31,20,55850
2016,240,4,1,2,4,2,2,34,22,52500
2016,240,4,1,0,4,2,2,34,23,50200
2016,443,8,1,2,4,2,2,25,16,68600
2016,443,8,1,0,4,2,2,25,17,66300
2016,255,6,1,2,4,2,2,37,26,59650
1991,322,8,1,0,2,0,1,17,13,4155
1992,322,8,1,0,4,2,2,15,11,2427
1992,322,8,1,0,4,1,2,16,13,3245
1992,322,8,1,0,2,0,1,17,13,4701
1993,315,8,1,0,2,2,0,16,12,3176
1993,315,8,1,0,4,1,2,18,14,3613
1993,315,8,1,0,2,0,1,19,14,5140
1993,315,8,1,0,4,2,2,16,12,2692
2015,,0,2,1,2,0,5,108,122,31800
2016,,0,2,1,2,0,5,103,121,31800
2017,,0,2,1,2,0,5,103,121,31800
2015,160,4,0,1,2,0,1,34,28,26595
2015,101,4,0,1,2,0,5,40,31,18700
2015,135,4,0,1,2,0,5,34,28,19700
2015,101,4,0,1,2,0,1,34,28,22800
2015,101,4,0,1,2,0,1,34,28,24700
2015,160,4,0,1,2,0,5,34,28,22495
2015,101,4,0,1,2,0,5,40,31,17495
2015,101,4,0,1,2,0,1,34,28,20345
2015,101,4,0,1,2,0,5,40,31,17700
2015,101,4,0,1,2,0,5,40,31,20400
2015,101,4,0,1,2,0,5,40,31,16845
2016,160,4,0,1,2,0,1,34,28,26695
2016,101,4,0,1,2,0,5,40,31,21295
2016,101,4,0,1,2,0,5,40,31,20395
2016,101,4,0,1,2,0,5,40,31,17745
2016,160,4,0,1,2,0,5,34,28,22575
2016,101,4,0,1,2,0,1,40,31,24495
2016,101,4,0,1,2,0,5,40,31,16995
2016,101,4,0,1,2,0,1,40,31,20395
2016,135,4,0,1,2,0,5,34,28,19700
2016,101,4,0,1,2,0,5,40,31,17900
2016,101,4,0,1,2,0,1,40,31,21395
2017,160,4,0,1,2,0,5,33,28,19995
2017,101,4,1,1,2,0,5,33,27,19390
2017,101,4,1,1,2,0,1,33,27,17485
2017,101,4,1,1,2,0,1,33,27,20885
2017,160,4,0,1,2,0,1,33,28,21490
2017,101,4,1,1,2,0,5,33,27,15990
2015,160,4,0,1,4,0,3,33,25,19345
2015,160,4,0,1,4,0,3,33,25,23095
2015,160,4,1,1,4,0,3,30,22,24695
2015,160,4,0,1,4,0,3,33,25,21695
2015,160,4,0,1,4,0,3,33,25,20695
2016,160,4,0,1,4,0,3,33,25,21880
2016,160,4,0,1,4,0,3,33,25,23395
